object_level;object_name;gender;year;education_level;study_area;count_graduate;percent_employed;average_salary;oktmo;okato
Страна;Российская Федерация;Всего;2020;Магистратура;Образование и педагогические науки;18171;87.60512502;71115.72503;00000000;00000000
Страна;Российская Федерация;Всего;2020;Магистратура;Сельское хозяйство и сельскохозяйственные науки;5423;84.02777778;73924.55648;00000000;00000000
Страна;Российская Федерация;Всего;2021;Магистратура;Гуманитарные науки;8660;83.38590957;71830.71587;00000000;00000000
Страна;Российская Федерация;Всего;2021;Магистратура;Здравоохранение и медицинские науки;164;90.78947368;146492.8974;00000000;00000000
Страна;Российская Федерация;Всего;2021;Магистратура;Инженерное дело, технологии и технические науки;47407;87.69016451;110856.9305;00000000;00000000
Страна;Российская Федерация;Всего;2021;Магистратура;Искусство и культура;2748;83.18700615;75704.31049;00000000;00000000
Страна;Российская Федерация;Всего;2021;Магистратура;Математические и естественные науки;9795;84.91764453;111613.5306;00000000;00000000
Страна;Российская Федерация;Всего;2021;Магистратура;Науки об обществе;66726;80.01977766;97810.89432;00000000;00000000
Страна;Российская Федерация;Всего;2021;Магистратура;Образование и педагогические науки;17349;87.42628993;68597.58001;00000000;00000000
Страна;Российская Федерация;Всего;2021;Магистратура;Сельское хозяйство и сельскохозяйственные науки;4880;83.34386187;69731.84993;00000000;00000000
Страна;Российская Федерация;Всего;2022;Магистратура;Гуманитарные науки;8417;81.42151482;68437.79095;00000000;00000000
Страна;Российская Федерация;Всего;2022;Магистратура;Здравоохранение и медицинские науки;167;88.02816901;120692.9072;00000000;00000000
Страна;Российская Федерация;Всего;2022;Магистратура;Инженерное дело, технологии и технические науки;44204;86.11756168;102614.8827;00000000;00000000
Страна;Российская Федерация;Всего;2022;Магистратура;Искусство и культура;2917;85.75174825;75672.57946;00000000;00000000
Страна;Российская Федерация;Всего;2022;Магистратура;Математические и естественные науки;9497;84.79492409;103367.2284;00000000;00000000
Страна;Российская Федерация;Всего;2022;Магистратура;Науки об обществе;66121;78.95888085;97013.07443;00000000;00000000
Страна;Российская Федерация;Всего;2022;Магистратура;Образование и педагогические науки;17611;87.37349104;67988.26831;00000000;00000000
Страна;Российская Федерация;Всего;2022;Магистратура;Сельское хозяйство и сельскохозяйственные науки;4907;82.82548476;67979.16146;00000000;00000000
Страна;Российская Федерация;Всего;2023;Магистратура;Гуманитарные науки;8404;78.67411026;62417.01316;00000000;00000000
Страна;Российская Федерация;Всего;2023;Магистратура;Здравоохранение и медицинские науки;204;93.125;135706.8208;00000000;00000000
